Series Name,Series Code,Country Name,Country Code,1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Afghanistan,AFG,51.652,51.65,51.623,51.574,51.502,51.411,51.303,51.184,51.058,38.75,37.69,36.67,35.706,34.809,33.981,33.211,32.487,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Algeria,DZA,48.215,47.869,47.563,47.303,47.092,46.922,46.766,46.593,46.381,24.934,25.246,25.451,25.538,25.481,25.25,24.846,24.282,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,9.5,..,..,..,8.8,..,7.2,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Antigua and Barbuda,ATG,30.32,29.698,28.98,28.164,27.229,26.15,24.948,23.664,22.353,16.396,16.272,16.152,16.026,15.883,15.717,15.53,15.327,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Argentina,ARG,22.83,22.804,22.834,22.924,23.09,23.35,23.695,24.098,24.524,18.055,17.949,17.831,17.698,17.548,17.383,17.205,17.021,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Aruba,ABW,28.121,26.908,25.817,24.872,24.099,23.505,23.068,22.76,22.561,11.123,11.09,11.111,11.179,11.281,11.404,11.532,11.652,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Austria,AUT,17.6,17.3,17,16.3,15,14.5,13.8,12.9,12.8,9.3,9.4,9.4,9.6,9.8,10,10,9.7,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Bahamas, The",BHS,28.613,27.571,26.85,26.474,26.38,26.441,26.492,26.423,26.211,14.855,14.659,14.485,14.34,14.224,14.131,14.049,13.968,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bangladesh,BGD,48.157,47.989,47.775,47.517,47.217,46.879,46.511,46.117,45.704,20.657,20.245,19.862,19.501,19.156,18.824,18.501,18.184,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belarus,BLR,18.184,17.395,16.756,16.284,15.976,15.805,15.718,15.672,15.647,11.5,12.2,12.5,12.5,12.5,12.4,10.8,9.9,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belize,BLZ,42.432,42.23,42.081,41.978,41.927,41.939,42.008,42.118,42.243,23.044,22.717,22.395,22.067,21.733,21.4,21.081,20.786,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bermuda,BMU,20.3,..,..,..,20.3,..,..,..,..,10.4,10,10.4,10.5,9.4,9.6,9.3,8.2,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bolivia,BOL,43.006,42.833,42.659,42.484,42.307,42.126,41.932,41.721,41.484,24.548,24.1,23.661,23.233,22.821,22.433,22.076,21.75,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Botswana,BWA,45.935,45.726,45.516,45.308,45.116,44.956,44.834,44.75,44.695,27.754,27.524,27.231,26.87,26.44,25.943,25.396,24.821,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bulgaria,BGR,14.9,15,16.9,17,16.3,15.9,15.3,16.2,17.2,9.6,9.5,9.2,9.4,9.2,9.1,9,8.9,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burundi,BDI,48.114,47.995,47.867,47.749,47.677,47.694,47.823,48.072,48.431,42.682,42.35,41.933,41.44,40.883,40.278,39.646,39.008,..
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/02/2020,,,,,,,,,,,,,,,,,,,,,
